spec,estimand,dropped_id,dropped_label,b,se,tau,N,clusters,full_b_tmp,full_b,delta,abs_delta
T3_col2_capi,Overall,35,Rauscher(2020),.0362137528267159,.0073168469,.020935943,38,21,,.0343007373969769,.001913015429739,.001913015429739
T3_col2_capi,Overall,10,Cellini Ferreira Rothstein(2010),.0341540439035566,.0066900072,.019744704,39,21,,.0343007373969769,-.0001466934934203,.0001466934934203
T3_col2_capi,Overall,3,Baron(2022),.0336862211082697,.0067892657,.020990247,38,21,,.0343007373969769,-.0006145162887072,.0006145162887072
T3_col2_capi,Overall,24,Kreisman Steinberg(2019),.0324034616461522,.0070924256,.021043042,37,21,,.0343007373969769,-.0018972757508247,.0018972757508247
T3_col2_capi,Overall,8,Carlson Lavertu(2018),.0326833491266294,.0067682755,.02095563,39,21,,.0343007373969769,-.0016173882703474,.0016173882703474
T3_col2_capi,Overall,19,Jackson Wigger Xiong(2021),.0328106680198411,.0073491028,.021782972,39,21,,.0343007373969769,-.0014900693771357,.0014900693771357
T3_col2_capi,Overall,17,Hong Zimmer(2016),.0342494473648658,.0067687281,.020612486,39,21,,.0343007373969769,-.000051290032111,.000051290032111
T3_col2_capi,Overall,98,Conlin Thompson(2017) Goncalves(2015),.034420176652868,.0069103432,.022107465,37,21,,.0343007373969769,.0001194392558911,.0001194392558911
T3_col2_capi,Overall,23,Kogan Lavertu Peskowitz(2017),.0366154291148017,.0076336106,.022282558,39,21,,.0343007373969769,.0023146917178248,.0023146917178248
T3_col2_capi,Overall,37,Weinstein Stiefel Schwartz Chalico(2009),.0376205748822489,.0060531897,.018902121,39,21,,.0343007373969769,.0033198374852721,.0033198374852721
T3_col2_capi,Overall,30,Miller(2018),.0320603548091153,.0072866441,.021761008,39,21,,.0343007373969769,-.0022403825878615,.0022403825878615
T3_col2_capi,Overall,34,Rauscher(2020),.0343509479988874,.0068528969,.021509772,38,21,,.0343007373969769,.0000502106019105,.0000502106019105
T3_col2_capi,Overall,12,Clark(2003),.0372897837610853,.0072978488,.021715373,39,21,,.0343007373969769,.0029890463641084,.0029890463641084
T3_col2_capi,Overall,14,Gigliotti Sorensen(2018),.0333090767993992,.0079743816,.023127874,39,21,,.0343007373969769,-.0009916605975777,.0009916605975777
T3_col2_capi,Overall,0,full sample,.0343007373969769,.0068112328,.021069113,40,22,.0343007373969769,.0343007373969769,,
T3_col2_capi,Overall,1,Abott Kogan Lavertu Peskowitz(2020),.0333529429074239,.0067348708,.020490184,37,21,,.0343007373969769,-.0009477944895529,.0009477944895529
T3_col2_capi,Overall,102,Martorell Stange McFarlin(2016),.0344185600655346,.0069090025,.022093635,39,21,,.0343007373969769,.0001178226685577,.0001178226685577
T3_col3_LI_c,Capital,16,Guryan(2001),.0307889519830926,.0093863308,.021600557,39,21,,.0306108981592674,.0001780538238252,.0001780538238252
T3_col3_LI_c,Capital,0,full sample,.0306108981592674,.0093257716,.021032995,40,22,.0306108981592674,.0306108981592674,,
T3_col3_LI_c,Capital,35,Rauscher(2020),.0309881961201482,.0092398617,.020801472,38,21,,.0306108981592674,.0003772979608808,.0003772979608808
T3_col3_LI_c,Capital,100,Brunner Hyman Ju(2020) Lafortune Rothstein Schanzenbach(2018),.0313758872738946,.0099654943,.021654638,34,21,,.0306108981592674,.0007649891146272,.0007649891146272
T3_col3_LI_c,Capital,12,Clark(2003),.031387602060554,.0092716906,.021465437,39,21,,.0306108981592674,.0007767039012866,.0007767039012866
T3_col3_LI_c,Capital,24,Kreisman Steinberg(2019),.0323437361924561,.0094348695,.020900842,37,21,,.0306108981592674,.0017328380331887,.0017328380331887
T3_col3_LI_c,Capital,23,Kogan Lavertu Peskowitz(2017),.0314279553134991,.0093945507,.022229809,39,21,,.0306108981592674,.0008170571542316,.0008170571542316
T3_col3_LI_c,Capital,14,Gigliotti Sorensen(2018),.0310882661281448,.0096759386,.02354045,39,21,,.0306108981592674,.0004773679688773,.0004773679688773
T3_col3_LI_c,Capital,37,Weinstein Stiefel Schwartz Chalico(2009),.0306901320771937,.0089047505,.018486599,39,21,,.0306108981592674,.0000792339179263,.0000792339179263
T3_col3_LI_c,Capital,3,Baron(2022),.0309515650724966,.0092923222,.020926652,38,21,,.0306108981592674,.0003406669132292,.0003406669132292
T3_col3_LI_c,Capital,5,Baron(2022),.031262346059344,.009353146,.020499483,37,21,,.0306108981592674,.0006514479000765,.0006514479000765
T3_col3_LI_c,Capital,32,Neilson Zimmerman(2014),.0307429428354885,.011821645,.021981049,39,21,,.0306108981592674,.000132044676221,.000132044676221
T3_col3_LI_c,Capital,98,Conlin Thompson(2017) Goncalves(2015),.0364692089831259,.0095407907,.021668123,37,21,,.0306108981592674,.0058583108238585,.0058583108238585
T3_col3_LI_c,Capital,102,Martorell Stange McFarlin(2016),.0322414747737242,.011856865,.022055199,39,21,,.0306108981592674,.0016305766144568,.0016305766144568
T3_col3_LI_c,Capital,10,Cellini Ferreira Rothstein(2010),.026570636086641,.008780106,.019791294,39,21,,.0306108981592674,-.0040402620726264,.0040402620726264
T3_col3_LI_c,Capital,27,Lafortune Schonholzer(2022),.025719068601829,.0098966407,.021272935,39,21,,.0306108981592674,-.0048918295574384,.0048918295574384
T3_col3_LI_c,Capital,99,Chaudhary(2009) Hyman(2017) Papke(2008) Roy(2011),.0298782831733745,.009161693,.01907282,37,21,,.0306108981592674,-.0007326149858929,.0007326149858929
T3_col3_LI_c,Capital,8,Carlson Lavertu(2018),.0302628019762573,.0093795229,.02094355,39,21,,.0306108981592674,-.0003480961830101,.0003480961830101
T3_col3_LI_c,Capital,17,Hong Zimmer(2016),.0265991945269052,.009128782,.020776452,39,21,,.0306108981592674,-.0040117036323622,.0040117036323622
T3_col3_LI_c,Capital,1,Abott Kogan Lavertu Peskowitz(2020),.0312533292312233,.0091903303,.020193851,37,21,,.0306108981592674,.0006424310719558,.0006424310719558
T3_col3_LI_c,Capital,19,Jackson Wigger Xiong(2021),.0305554683067391,.0094927484,.021900415,39,21,,.0306108981592674,-.0000554298525284,.0000554298525284
T3_col3_LI_c,Capital,34,Rauscher(2020),.03398307443437,.011731016,.022169203,38,21,,.0306108981592674,.0033721762751026,.0033721762751026
T3_col3_LI_c,Capital,30,Miller(2018),.0304356872311113,.0095287105,.021980692,39,21,,.0306108981592674,-.0001752109281562,.0001752109281562
T3_col3_LI_c,LI_minus_nonLI,27,Lafortune Schonholzer(2022),.0154254419568595,.0082399352,.021272935,39,21,,.0151287550757113,.0002966868811482,.0002966868811482
T3_col3_LI_c,LI_minus_nonLI,10,Cellini Ferreira Rothstein(2010),.0154247769040874,.0078317989,.019791294,39,21,,.0151287550757113,.0002960218283761,.0002960218283761
T3_col3_LI_c,LI_minus_nonLI,14,Gigliotti Sorensen(2018),.0148782113084133,.009069182,.02354045,39,21,,.0151287550757113,-.000250543767298,.000250543767298
T3_col3_LI_c,LI_minus_nonLI,12,Clark(2003),.0152933918808128,.0083166528,.021465437,39,21,,.0151287550757113,.0001646368051015,.0001646368051015
T3_col3_LI_c,LI_minus_nonLI,23,Kogan Lavertu Peskowitz(2017),.0151959403576517,.0085629662,.022229809,39,21,,.0151287550757113,.0000671852819404,.0000671852819404
T3_col3_LI_c,LI_minus_nonLI,34,Rauscher(2020),.0141537742949131,.021254571,.022169203,38,21,,.0151287550757113,-.0009749807807981,.0009749807807981
T3_col3_LI_c,LI_minus_nonLI,35,Rauscher(2020),.0152682181065502,.0081313727,.020801472,38,21,,.0151287550757113,.0001394630308389,.0001394630308389
T3_col3_LI_c,LI_minus_nonLI,102,Martorell Stange McFarlin(2016),.0149696234352611,.0085756369,.022055199,39,21,,.0151287550757113,-.0001591316404502,.0001591316404502
T3_col3_LI_c,LI_minus_nonLI,24,Kreisman Steinberg(2019),.0117002649933334,.0093318224,.020900842,37,21,,.0151287550757113,-.0034284900823778,.0034284900823778
T3_col3_LI_c,LI_minus_nonLI,1,Abott Kogan Lavertu Peskowitz(2020),.0194077200197624,.0071395771,.020193851,37,21,,.0151287550757113,.0042789649440511,.0042789649440511
T3_col3_LI_c,LI_minus_nonLI,30,Miller(2018),.0149327503011799,.0085902018,.021980692,39,21,,.0151287550757113,-.0001960047745313,.0001960047745313
T3_col3_LI_c,LI_minus_nonLI,19,Jackson Wigger Xiong(2021),.014981660793881,.0085436823,.021900415,39,21,,.0151287550757113,-.0001470942818303,.0001470942818303
T3_col3_LI_c,LI_minus_nonLI,100,Brunner Hyman Ju(2020) Lafortune Rothstein Schanzenbach(2018),.0104860028757771,.011073517,.021654638,34,21,,.0151287550757113,-.0046427521999341,.0046427521999341
T3_col3_LI_c,LI_minus_nonLI,16,Guryan(2001),.0150974421531112,.008407467,.021600557,39,21,,.0151287550757113,-.0000313129226,.0000313129226
T3_col3_LI_c,LI_minus_nonLI,5,Baron(2022),.0138937953507025,.0084104156,.020499483,37,21,,.0151287550757113,-.0012349597250087,.0012349597250087
T3_col3_LI_c,LI_minus_nonLI,32,Neilson Zimmerman(2014),.0150707630407642,.0085207792,.021981049,39,21,,.0151287550757113,-.0000579920349471,.0000579920349471
T3_col3_LI_c,LI_minus_nonLI,0,full sample,.0151287550757113,.0082321335,.021032995,40,22,.0151287550757113,.0151287550757113,,
T3_col3_LI_c,LI_minus_nonLI,37,Weinstein Stiefel Schwartz Chalico(2009),.0154542110574466,.0074547636,.018486599,39,21,,.0151287550757113,.0003254559817354,.0003254559817354
T3_col3_LI_c,LI_minus_nonLI,17,Hong Zimmer(2016),.0153897739518105,.0081121605,.020776452,39,21,,.0151287550757113,.0002610188760992,.0002610188760992
T3_col3_LI_c,LI_minus_nonLI,3,Baron(2022),.0133302254709611,.0082903188,.020926652,38,21,,.0151287550757113,-.0017985296047501,.0017985296047501
T3_col3_LI_c,LI_minus_nonLI,8,Carlson Lavertu(2018),.0150422589742695,.00823789,.02094355,39,21,,.0151287550757113,-.0000864961014418,.0000864961014418
T3_col3_LI_c,LI_minus_nonLI,98,Conlin Thompson(2017) Goncalves(2015),.0197420237920481,.0094276518,.021668123,37,21,,.0151287550757113,.0046132687163369,.0046132687163369
T3_col3_LI_c,LI_minus_nonLI,99,Chaudhary(2009) Hyman(2017) Papke(2008) Roy(2011),.0151905850419258,.0076485714,.01907282,37,21,,.0151287550757113,.0000618299662146,.0000618299662146
T3_col3_LI_c,Overall,99,Chaudhary(2009) Hyman(2017) Papke(2008) Roy(2011),.0347280807216231,.0072050942,.01907282,37,21,,.0359451664998633,-.0012170857782402,.0012170857782402
T3_col3_LI_c,Overall,16,Guryan(2001),.0361444215842795,.0076642619,.021600557,39,21,,.0359451664998633,.0001992550844161,.0001992550844161
T3_col3_LI_c,Overall,0,full sample,.0359451664998633,.0074666319,.021032995,40,22,.0359451664998633,.0359451664998633,,
T3_col3_LI_c,Overall,24,Kreisman Steinberg(2019),.033861231621621,.0074313013,.020900842,37,21,,.0359451664998633,-.0020839348782423,.0020839348782423
T3_col3_LI_c,Overall,34,Rauscher(2020),.0348937531580054,.007747001,.022169203,38,21,,.0359451664998633,-.0010514133418579,.0010514133418579
T3_col3_LI_c,Overall,102,Martorell Stange McFarlin(2016),.0361812463535637,.0076241121,.022055199,39,21,,.0359451664998633,.0002360798537004,.0002360798537004
T3_col3_LI_c,Overall,23,Kogan Lavertu Peskowitz(2017),.0387216541272454,.0084679434,.022229809,39,21,,.0359451664998633,.0027764876273821,.0027764876273821
T3_col3_LI_c,Overall,35,Rauscher(2020),.0381964332211078,.008104194,.020801472,38,21,,.0359451664998633,.0022512667212445,.0022512667212445
T3_col3_LI_c,Overall,1,Abott Kogan Lavertu Peskowitz(2020),.0352670255700214,.0073708384,.020193851,37,21,,.0359451664998633,-.000678140929842,.000678140929842
T3_col3_LI_c,Overall,30,Miller(2018),.0337820510136967,.0081484802,.021980692,39,21,,.0359451664998633,-.0021631154861666,.0021631154861666
T3_col3_LI_c,Overall,12,Clark(2003),.0394573058636731,.0080510871,.021465437,39,21,,.0359451664998633,.0035121393638098,.0035121393638098
T3_col3_LI_c,Overall,27,Lafortune Schonholzer(2022),.0355633519800686,.007445938,.021272935,39,21,,.0359451664998633,-.0003818145197948,.0003818145197948
T3_col3_LI_c,Overall,37,Weinstein Stiefel Schwartz Chalico(2009),.0394858933774685,.0067661302,.018486599,39,21,,.0359451664998633,.0035407268776052,.0035407268776052
T3_col3_LI_c,Overall,10,Cellini Ferreira Rothstein(2010),.0354904107492038,.0072875698,.019791294,39,21,,.0359451664998633,-.0004547557506595,.0004547557506595
T3_col3_LI_c,Overall,14,Gigliotti Sorensen(2018),.0352077036129621,.0089526251,.02354045,39,21,,.0359451664998633,-.0007374628869012,.0007374628869012
T3_col3_LI_c,Overall,100,Brunner Hyman Ju(2020) Lafortune Rothstein Schanzenbach(2018),.035837942496518,.0081602074,.021654638,34,21,,.0359451664998633,-.0001072240033454,.0001072240033454
T3_col3_LI_c,Overall,8,Carlson Lavertu(2018),.0342525439554917,.0074085901,.02094355,39,21,,.0359451664998633,-.0016926225443716,.0016926225443716
T3_col3_LI_c,Overall,98,Conlin Thompson(2017) Goncalves(2015),.0361211932834033,.0076709189,.021668123,37,21,,.0359451664998633,.00017602678354,.00017602678354
T3_col3_LI_c,Overall,3,Baron(2022),.0354439277950018,.00744136,.020926652,38,21,,.0359451664998633,-.0005012387048616,.0005012387048616
T3_col3_LI_c,Overall,17,Hong Zimmer(2016),.0355873657437586,.007390291,.020776452,39,21,,.0359451664998633,-.0003578007561047,.0003578007561047
T3_col3_LI_c,Overall,19,Jackson Wigger Xiong(2021),.0345221405075587,.0081525287,.021900415,39,21,,.0359451664998633,-.0014230259923046,.0014230259923046
T3_col3_LI_c,Overall,32,Neilson Zimmerman(2014),.0360499559835989,.0075966311,.021981049,39,21,,.0359451664998633,.0001047894837356,.0001047894837356
T3_col3_LI_c,Overall,5,Baron(2022),.0357548932113833,.0074135549,.020499483,37,21,,.0359451664998633,-.00019027328848,.00019027328848
