"","x"
"94",-0.0545009784735812
"95",-0.0540117416829746
"96",-0.0535225048923679
"97",-0.0530332681017613
"98",-0.0525440313111546
"99",-0.052054794520548
"100",-0.0515655577299413
"101",-0.0510763209393346
"102",-0.050587084148728
"103",-0.0500978473581213
"104",-0.0496086105675147
"105",-0.049119373776908
"106",-0.0486301369863014
"107",-0.0481409001956947
"108",-0.0476516634050881
"109",-0.0471624266144814
"110",-0.0466731898238748
"111",-0.0461839530332681
"112",-0.0456947162426615
"113",-0.0452054794520548
"114",-0.0447162426614481
"115",-0.0442270058708415
"116",-0.0437377690802348
"117",-0.0432485322896282
"118",-0.0427592954990215
"119",-0.0422700587084149
"120",-0.0417808219178082
"121",-0.0412915851272016
"122",-0.0408023483365949
"123",-0.0403131115459883
"124",-0.0398238747553816
"125",-0.039334637964775
"126",-0.0388454011741683
"127",-0.0383561643835617
"128",-0.037866927592955
"129",-0.0373776908023483
"130",-0.0368884540117417
"131",-0.036399217221135
"132",-0.0359099804305284
"133",-0.0354207436399217
"134",-0.0349315068493151
"135",-0.0344422700587084
"136",-0.0339530332681018
"137",-0.0334637964774951
"138",-0.0329745596868885
"139",-0.0324853228962818
"140",-0.0319960861056752
"141",-0.0315068493150685
"142",-0.0310176125244618
"143",-0.0305283757338552
"144",-0.0300391389432485
"145",-0.0295499021526419
"146",-0.0290606653620352
"147",-0.0285714285714286
"148",-0.0280821917808219
"149",-0.0275929549902153
"150",-0.0271037181996086
"151",-0.026614481409002
"152",-0.0261252446183953
"153",-0.0256360078277887
"154",-0.025146771037182
"155",-0.0246575342465754
"156",-0.0241682974559687
"157",-0.023679060665362
"158",-0.0231898238747554
"159",-0.0227005870841487
"160",-0.0222113502935421
"161",-0.0217221135029354
"162",-0.0212328767123288
"163",-0.0207436399217221
"164",-0.0202544031311155
"165",-0.0197651663405088
"166",-0.0192759295499022
"167",-0.0187866927592955
"168",-0.0182974559686889
"169",-0.0178082191780822
"170",-0.0173189823874755
"171",-0.0168297455968689
"172",-0.0163405088062622
"173",-0.0158512720156556
"174",-0.0153620352250489
"175",-0.0148727984344423
"176",-0.0143835616438356
"177",-0.013894324853229
"178",-0.0134050880626223
"179",-0.0129158512720157
"180",-0.012426614481409
"181",-0.0119373776908024
"182",-0.0114481409001957
"183",-0.0109589041095891
"184",-0.0104696673189824
"185",-0.00998043052837574
"186",-0.00949119373776909
"187",-0.00900195694716244
"188",-0.00851272015655578
"189",-0.00802348336594913
"190",-0.00753424657534248
"191",-0.00704500978473582
"192",-0.00655577299412917
"193",-0.00606653620352252
"194",-0.00557729941291586
"195",-0.00508806262230921
"196",-0.00459882583170255
"197",-0.0041095890410959
"198",-0.00362035225048925
"199",-0.00313111545988259
"200",-0.00264187866927594
"201",-0.00215264187866929
"202",-0.00166340508806263
"203",-0.00117416829745598
"204",-0.000684931506849326
"205",-0.000195694716242673
"206",0.000293542074363981
"207",0.000782778864970635
"208",0.00127201565557729
"209",0.00176125244618394
"210",0.0022504892367906
"211",0.00273972602739725
"212",0.0032289628180039
"213",0.00371819960861056
"214",0.00420743639921721
"215",0.00469667318982386
"216",0.00518590998043052
"217",0.00567514677103717
"218",0.00616438356164382
"219",0.00665362035225048
"220",0.00714285714285713
"221",0.00763209393346378
"222",0.00812133072407044
"223",0.00861056751467709
"224",0.00909980430528375
"225",0.0095890410958904
"226",0.0100782778864971
"227",0.0105675146771037
"228",0.0110567514677104
"229",0.011545988258317
"230",0.0120352250489237
"231",0.0125244618395303
"232",0.013013698630137
"233",0.0135029354207436
"234",0.0139921722113503
"235",0.0144814090019569
"236",0.0149706457925636
"237",0.0154598825831702
"238",0.0159491193737769
"239",0.0164383561643835
"240",0.0169275929549902
"241",0.0174168297455969
"242",0.0179060665362035
"243",0.0183953033268102
"244",0.0188845401174168
