"","theta","g","SE.g","G","SE.G","Bias.g"
"21",-1,0.00576699905857352,0.00554730047493502,0.141586759380122,0.0986199421470992,0.023634593944621
"22",-0.9,0.0058424855106769,0.00550171890943404,0.147429244890799,0.104118632543823,0.0234176832252156
"23",-0.8,0.00594616037242053,0.0054364481098823,0.153375405263219,0.109551242562336,0.0231131948404855
"24",-0.7,0.00607737084609071,0.00534975103850655,0.15945277610931,0.114896082918418,0.0227132688136209
"25",-0.6,0.0062356816997653,0.00523933680366673,0.165688457809075,0.12012908980615,0.022207557636382
"26",-0.5,0.00642081496002928,0.00510246390836194,0.172109272769105,0.125223342112521,0.0215836329144412
"27",-0.4,0.00663259257241059,0.00493604595869384,0.178741865341515,0.13014866947003,0.0208273802035063
"28",-0.3,0.00687088012098653,0.00473677076357997,0.185612745462502,0.134871355672262,0.0199234138388734
"29",-0.2,0.00713553009761215,0.0045012457833246,0.192748275560114,0.139353948321242,0.0188555391136595
"30",-0.0999999999999996,0.00742632357670408,0.00422618826622451,0.200174599136818,0.143555191013878,0.0176072852385473
"31",0,0.00774290951017644,0.00390869128105726,0.207917508646994,0.14743009889093,0.0161625285090836
"32",0.1,0.00808474123046883,0.00354662839350471,0.216002249877463,0.150930201824506,0.0145062204850266
"33",0.2,0.00845101015438107,0.00313934267300865,0.224453260031844,0.154003981660167,0.0126252302876821
"34",0.3,0.00884057712850166,0.00268900624836632,0.233293837160346,0.156597530417172,0.0105093029582322
"35",0.4,0.00925190235475166,0.00220382340962993,0.242545739515098,0.158655454775817,0.00815212690278895
"36",0.5,0.00968297538183835,0.00170716793324819,0.252228714896936,0.160122048095201,0.00555249262183616
"37",0.6,0.0101312472373843,0.0012676748561906,0.26235996213432,0.160942744159641,0.00271551220702546
"38",0.7,0.0105935673893079,0.00107285825932289,0.272953529523628,0.161065856450988,-0.00034614525438796
"39",0.8,0.0110661288366288,0.00132711152143865,0.284019658360257,0.160444592706136,-0.00361106265030904
"40",0.9,0.0115444252012367,0.00190550531317315,0.295564083561494,0.15903931674975,-0.00704800409313722
"41",1,0.0120232241742237,0.00262833887530386,0.307587307735717,0.156820008259719,-0.0106150549226783
"42",1.1,0.0124971500631808,0.00341703177633578,0.320084457798898,0.153767809434776,-0.0142638993919953
"43",1.2,0.0129626427332172,0.00423892828921949,0.333047100532115,0.149872938292504,-0.0179567856374493
"44",1.3,0.0134165297542577,0.00507577543796256,0.346463630286373,0.145134735714078,-0.021656863287336
"45",1.4,0.0138555087849204,0.00591379949767135,0.360319139071293,0.139562601393168,-0.0253243803094998
"46",1.5,0.0142761776805013,0.00674080397017379,0.374595316751795,0.133176931099061,-0.0289171477561303
"47",1.6,0.0146750689664186,0.00754514846883478,0.389270385718213,0.126010091218125,-0.0323911028982631
"48",1.7,0.0150486884286063,0.00831540218158775,0.40431907414682,0.118107508853789,-0.0357009665149673
"49",1.8,0.0153935574470242,0.00904027800478201,0.419712631593844,0.109529033850258,-0.0388009867739742
"50",1.9,0.0157062585691079,0.00970869997863125,0.435418890162952,0.100350878196192,-0.0416457586670979
"51",2,0.0159834836903052,0.0103099412329192,0.451402373853257,0.0906687352230317,-0.0441911044621082
"52",2.1,0.0162220840830314,0.0108338016929861,0.467624457936288,0.0806033009819869,-0.0463949972368819
"53",2.2,0.0164191213979992,0.0112708078628775,0.484043579334287,0.0703107773272661,-0.0482185064190638
"54",2.3,0.0165719186577615,0.0116124226051667,0.500615497992049,0.0600040227307166,-0.0496267415204332
"55",2.4,0.0166781101763591,0.0118512553271297,0.517293608168408,0.0499970454604824,-0.0505897680863771
"56",2.5,0.0167356892759703,0.0119812641555556,0.534029297444378,0.0407994206210859,-0.0510834684278628
"57",2.6,0.01674305263587,0.0119979423405525,0.550772350080248,0.0332934564396432,-0.0510903191021797
"58",2.7,0.0166990401047094,0.0118984816615512,0.567471390184958,0.028876746047275,-0.0506000574725813
"59",2.8,0.0166029688372083,0.0116819062221617,0.584074359022166,0.0288524581135605,-0.0496102110874283
"60",2.9,0.0164546606828861,0.0113491708369663,0.600529019705052,0.0329433200005404,-0.0481264661188613
"61",3,0.0162544618583021,0.0109032193231629,0.616783481563354,0.039541266760641,-0.0461628546859395
"62",3.1,0.0160040788191596,0.0103508371975268,0.632787560382514,0.0472249429805086,-0.0437493085901393
