"","x"
"155",0.839770388533525
"156",0.953960803331054
"157",1.07120402784176
"158",1.19145719499922
"159",1.31467364488674
"160",1.44080295485817
"161",1.56979097559802
"162",1.70157987309068
"163",1.83610817645696
"164",1.97331083160554
"165",2.11311926063585
"166",2.25546142691793
"167",2.40026190576411
"168",2.54744196059684
"169",2.69691962450622
"170",2.84860978708081
"171",3.00242428638485
"172",3.15827200594552
"173",3.31605897660363
"174",3.47568848307252
"175",3.63706117504008
"176",3.80007518264035
"177",3.96462623611285
"178",4.13060778945908
"179",4.29791114789844
"180",4.46642559891785
"181",4.6360385467028
"182",4.80663564973047
"183",4.97810096129973
"184",5.15031707276669
"185",5.32316525924946
"186",5.49652562756061
"187",5.67027726612165
"188",5.84429839660957
"189",6.01846652708253
"190",6.19265860632825
"191",6.36675117917662
"192",6.54062054251596
"193",6.71414290175074
"194",6.88719452743799
"195",7.05965191183881
"196",7.23139192512194
"197",7.40229197095638
"198",7.57223014123193
"199",7.74108536964739
"200",7.90873758390894
"201",8.07506785628355
"202",8.23995855225543
"203",8.40329347703753
"204",8.5649580196937
"205",8.72483929463227
"206",8.88282628023659
"207",9.03880995440365
"208",9.19268342676817
"209",9.34434206739542
"210",9.49368363173358
"211",9.64060838162316
"212",9.78501920216878
"213",9.92682171428688
"214",10.0659243827509
"215",10.2022386195646
"216",10.3356788825026
"217",10.4661627686676
"218",10.5936111029219
"219",10.7179480210628
"220",10.8391010476181
"221",10.9570011681533
"222",11.0715828959871
"223",11.1827843332271
"224",11.2905472260457
"225",11.3948170141276
"226",11.4955428742327
"227",11.5926777578283
"228",11.686178422755
"229",11.7760054589038
"230",11.8621233078921
"231",11.9445002767372
"232",12.0231085455378
"233",12.0979241691854
"234",12.1689270731373
"235",12.2361010432956
"236",12.2994337100459
"237",12.3589165265211
"238",12.4145447411656
"239",12.4663173646866
"240",12.5142371314867
"241",12.5583104556866
"242",12.5985473818499
"243",12.6349615305385
"244",12.6675700388293
"245",12.6963934959371
"246",12.7214558740939
"247",12.7427844548438
"248",12.7604097509203
"249",12.7743654238802
"250",12.784688197676
"251",12.7914177683532
"252",12.7945967100673
"253",12.7942703776191
"254",12.7904868057146
"255",12.7832966051574
"256",12.7727528561882
"257",12.7589109991898
"258",12.7418287229785
"259",12.7215658509056
"260",12.6981842249969
"261",12.6717475883578
"262",12.6423214660756
"263",12.6099730448496
"264",12.5747710515802
"265",12.5367856311512
"266",12.4960882236351
"267",12.4527514411524
"268",12.4068489446157
"269",12.358455320585
"270",12.3076459584599
"271",12.2544969282322
"272",12.1990848590178
"273",12.1414868185842
"274",12.081780194086
"275",12.0200425742158
"276",11.9563516329736
"277",11.890785015252
"278",11.8234202244307
"279",11.7543345121647
"280",11.683604770548
"281",11.6113074268256
"282",11.5375183408198
"283",11.4623127052316
"284",11.385764948968
"285",11.3079486436405
"286",11.22893641337
"287",11.1487998480276
"288",11.0676094200302
"289",10.9854344048024
"290",10.9023428050078
"291",10.8184012786429
"292",10.7336750710787
"293",10.6482279511254
"294",10.5621221511875
"295",10.4754183115662
"296",10.3881754289571
"297",10.3004508091828
"298",10.2123000241896
"299",10.123776873329
"300",10.0349333489351
"301",9.94581960620012
"302",9.85648393734177
"303",9.76697275004558
"304",9.67733055015876
"305",9.58759992860163
"306",9.49782155245518
"307",9.40803416017467
"308",9.31827456087099
"309",9.22857763759377
"310",9.13897635454224
"311",9.04950176812283
"312",8.96018304176468
"313",8.87104746439799
"314",8.78212047249276
"315",8.69342567554986
"316",8.60498488492959
"317",8.51681814589776
"318",8.42894377276351
"319",8.34137838697816
"320",8.25413695805975
"321",8.16723284720332
"322",8.08067785343315
"323",7.99448226214945
"324",7.90865489591878
"325",7.82320316735435
"326",7.7381331339301
"327",7.65344955457009
"328",7.56915594785312
"329",7.4852546516708
"330",7.40174688417666
"331",7.31863280586301
"332",7.23591158260189
"333",7.15358144948689
"334",7.07163977531279
"335",6.99008312753086
"336",6.90890733751899
"337",6.82810756600727
"338",6.74767836850135
"339",6.66761376054866
"340",6.58790728269433
"341",6.5085520649774
"342",6.42954089082023
"343",6.35086626016832
"344",6.27252045174077
"345",6.19449558425623
"346",6.11678367650305
"347",6.03937670612728
"348",5.96226666701666
"349",5.88544562516381
"350",5.80890577289724
"351",5.73263948137394
"352",5.65663935123323
"353",5.58089826131676
"354",5.50540941536624
"355",5.43016638661583
"356",5.35516316020267
"357",5.28039417332505
"358",5.20585435308438
"359",5.13153915195319
"360",5.05744458081824
"361",4.98356723955381
"362",4.9099043450875
"363",4.83645375692673
"364",4.76321400012111
"365",4.69018428564212
"366",4.61736452816821
"367",4.54475536126974
"368",4.47235814999454
"369",4.40017500086115
"370",4.32820876927306
"371",4.25646306437318
"372",4.18494225136398
"373",4.11365145132412
"374",4.04259653855858
"375",3.9717841355244
"376",3.90122160537959
"377",3.83091704220804
"378",3.76087925897804
"379",3.69111777329689
"380",3.62164279102856
"381",3.55246518784584
"382",3.48359648879218
"383",3.41504884593276
"384",3.34683501417757
"385",3.27896832536277
"386",3.21146266067988
"387",3.144332421545
"388",3.07759249900307
"389",3.01125824176434
"390",2.94534542297248
"391",2.87987020580548
"392",2.81484910801208
"393",2.75029896548778
"394",2.68623689499528
"395",2.62268025613544
"396",2.55964661267467
"397",2.49715369333548
"398",2.43521935215644
"399",2.37386152852781
"400",2.31309820700828
"401",2.25294737702773
"402",2.19342699257953
"403",2.13455493200496
"404",2.07634895797064
"405",2.01882667773801
"406",1.96200550382217
"407",1.90590261513499
"408",1.85053491870528
"409",1.79591901206589
"410",1.74207114639513
"411",1.68900719049692
"412",1.63674259570084
"413",1.58529236176011
"414",1.5346710038221
"415",1.48489252054236
"416",1.43597036340965
"417",1.3879174073454
"418",1.34074592263735
"419",1.29446754826314
"420",1.24909326665537
"421",1.2046333799556
"422",1.16109748780068
"423",1.11849446668031
"424",1.07683245090068
"425",1.03611881518443
"426",0.996360158933218
"427",0.957562292174405
"428",0.919730223209456
"429",0.882868147976973
"430",0.846979441139218
"431",0.812066648896634
"432",0.77813148353069
"433",0.745174819671164
"434",0.713196692279973
"435",0.682196296339604
"436",0.652171988230272
"437",0.623121288776067
"438",0.595040887936707
"439",0.567926651117785
"440",0.541773627068968
"441",0.516576057336139
"442",0.492327387230328
"443",0.469020278273059
"444",0.446646622074796
"445",0.425197555600397
"446",0.404663477772686
"447",0.385034067362878
"448",0.366298302114147
"449",0.348444479042416
"450",0.331460235856512
"451",0.315332573437898
"452",0.300047879318546
"453",0.285591952093988
"454",0.271950026707282
"455",0.259106800538459
"456",0.247046460232996
"457",0.235752709202167
"458",0.225208795727364
"459",0.215397541600149
"460",0.206301371229436
"461",0.19790234114715
"462",0.190182169843725
"463",0.183122267865105
"464",0.176703768103231
"465",0.170907556212584
"466",0.165714301086071
"467",0.161104485324412
"468",0.157058435634146
"469",0.153556353090578
"470",0.150578343203269
"471",0.148104445723067
"472",0.146114664131265
"473",0.144588994753092
"474",0.143507455439602
"475",0.142850113763821
"476",0.14259711467909
"477",0.142728707589607
"478",0.143225272785324
"479",0.144067347195621
"480",0.145235649418563
"481",0.146711103984873
"482",0.148474864818272
"483",0.150508337856308
"484",0.152793202798396
"485",0.155311433950355
"486",0.158045320137385
"487",0.160977483660057
