"","theta","g","SE.g","G","SE.G","Bias.g"
"24",-0.7,0.00472226563789229,0.00257151334883297,0.102876091006416,0.0529961652589985,0.00661275343868319
"25",-0.6,0.00512967339912791,0.002634240800834,0.108005764405544,0.0555290182998643,0.00662833569546713
"26",-0.5,0.00561078765307815,0.00269313237073639,0.113616552058622,0.0580963699510267,0.00659144876207893
"27",-0.4,0.00617268623084394,0.00274454324755155,0.119789238289466,0.0606818636998537,0.00647937431144437
"28",-0.3,0.00682279396455137,0.00278503836309827,0.126612032254018,0.0632619590157023,0.00626562908795925
"29",-0.2,0.00756849333524527,0.00281214361891384,0.134180525589263,0.0658050530382098,0.00592017109625768
"30",-0.0999999999999996,0.0084166092518315,0.00282558492245782,0.142597134841094,0.0682708745536291,0.00541004180308991
"31",0,0.00937274687826871,0.00282917213522797,0.151969881719363,0.0706103558464272,0.00470059111789957
"32",0.1,0.0104404697169514,0.00283334449202515,0.162410351436314,0.0727662373505522,0.00375742796301961
"33",0.2,0.0116203189482312,0.00285785520586184,0.174030670384546,0.074674698159883,0.00254920960318209
"34",0.3,0.0129086954554009,0.00293282960513034,0.186939365839947,0.0762683178902636,0.00105131731980743
"35",0.4,0.0142966535270684,0.00309501244244763,0.201236019367015,0.0774806419543345,-0.000749644166785815
"36",0.5,0.0157686892862264,0.00337727687393946,0.217004708653241,0.0782525164501239,-0.00285074468658189
"37",0.6,0.0173016451253511,0.00379567973851531,0.234306353778593,0.0785401468901061,-0.00522744683487514
"38",0.7,0.0188638893378714,0.00434270252015377,0.253170243116464,0.0783244758047592,-0.00782879318233875
"39",0.8,0.020414960828885,0.00498941071530361,0.273585203945349,0.0776209221715819,-0.0105739258232196
"40",0.9,0.0219058831978351,0.00569151331395284,0.295491087143184,0.076487746453572,-0.0133509517652557
"41",1,0.0232803403458273,0.00639477969677449,0.318771427489011,0.0750303314212,-0.0160191876199885
"42",1.1,0.0244831451528529,0.00704387123139514,0.343254572641864,0.0733962259492955,-0.0184290704534341
"43",1.2,0.0254843519452725,0.00760269165123447,0.368738924587137,0.0717565672187605,-0.0204804891856843
"44",1.3,0.0262663189993668,0.00804728113929684,0.395005243586504,0.0702873673675889,-0.0221039922453392
"45",1.4,0.0268185193550843,0.00836212900777394,0.421823762941588,0.069148531539974,-0.0232526477750782
"46",1.5,0.0271375771089317,0.00853996109589592,0.44896134005052,0.0684617868099622,-0.0239033032963854
"47",1.6,0.0272269355952489,0.00858116204734227,0.476188275645769,0.068292746361002,-0.0240561074421436
"48",1.7,0.0270962135504334,0.00849285798675987,0.503284489196202,0.0686426845282693,-0.023732519078112
"49",1.8,0.0267603214793369,0.00828773238715259,0.530044810675539,0.0694529100536308,-0.0229721369032903
"50",1.9,0.0262384183920635,0.00798267494075848,0.556283229067602,0.0706199325097145,-0.0218287409964609
"51",2,0.0255527893520982,0.00759737058863165,0.581836018419701,0.0720159184616292,-0.0203659483464667
"52",2.1,0.0247277180884213,0.00715292736260799,0.606563736508122,0.0735083897759159,-0.018652854303064
"53",2.2,0.023788417934021,0.00667062206464042,0.630352154442143,0.0749752283370652,-0.0167599717603237
"54",2.3,0.022760070390704,0.006170816868035,0.653112224832847,0.076313802479391,-0.0147557017856607
"55",2.4,0.0216670054493149,0.00567207238150523,0.674779230282162,0.0774449255366568,-0.012703484951413
"56",2.5,0.0205320429367389,0.00519045833805667,0.695311273218901,0.0783131019063405,-0.0106597016412046
"57",2.6,0.0193760007869055,0.00473904700922596,0.714687274005806,0.0788844987669646,-0.008672319339995
"58",2.7,0.0182173650199339,0.00432757202429185,0.73290463902574,0.0791437558514188,-0.0067802297902106
"59",2.8,0.0170721077586191,0.00396224982261906,0.749976746784359,0.0790903852278221,-0.00501318066457147
"60",2.9,0.0159536338831723,0.00364578854745434,0.765930380667532,0.078735223641152,-0.00339218463842879
"61",3,0.0148728337379491,0.00337763265216284,0.780803214405481,0.0780971973324334,-0.00193028143799797
"62",3.1,0.0138380264301448,0.00315501707702097,0.794641240835625,0.0772002906365623,-0.000632802112875582
"63",3.2,0.0128546879963721,0.00297511822163342,0.807495928831998,0.0760706192978506,0.000503166956661899
"64",3.3,0.0119264303159153,0.00283369866010405,0.819422359147913,0.0747351519962027,0.00148463799915958
"65",3.4,0.0110554279737446,0.00272505281009772,0.830477787121658,0.0732208966499855,0.00232102986259905
"66",3.5,0.0102426278244433,0.00264272524179012,0.840720414946101,0.0715542100670186,0.00302343060450517
"67",3.6,0.00948795405608156,0.00258025987178649,0.850208369002182,0.0697602372918105,0.00360395210572357
"68",3.7,0.00879050246448066,0.00253180300779651,0.858998871466663,0.0678624800029009,0.0040751845618937
"69",3.8,0.00814871957430392,0.00249247006369174,0.867147591040967,0.06588248720375,0.00444975169614207
"70",3.9,0.00756056391872594,0.00245847995084379,0.874708154959693,0.0638396568142772,0.00473996226701751
"71",4,0.00702364818600707,0.00242711729675277,0.8817318031457,0.0617511337561385,0.00495754979154809
"72",4.1,0.00653536205670327,0.00239659533397644,0.888267165202403,0.0596317886185225,0.00511349015684553
"73",4.2,0.00609297640562514,0.00236587901484191,0.894360141608028,0.0574942607424206,0.00521788570596331
"74",4.3,0.00569373015638151,0.00233450703134023,0.90005387176441,0.0553490502697937,0.0052799041961547
"75",4.4,0.00533490148865428,0.00230243322657437,0.905388773253064,0.0532046450733573,0.00530776149459894
"76",4.5,0.00501386534725607,0.00226989545616728,0.91040263860032,0.0510676702506279,0.00530873777948917
"77",4.6,0.00472813932528512,0.00223731275137322,0.915130777925605,0.0489430498188323,0.00528921816892697
"78",4.7,0.00447542002690447,0.00220520806912288,0.91960619795251,0.0468341722241613,0.00525474995849891
"79",4.8,0.00425361199082657,0.00217415253560686,0.923859809943336,0.0447430531686482,0.00521010989729071
"80",4.9,0.00406085120238691,0.00214472688310385,0.927920661145723,0.0426704909942469,0.00515937608795592
"81",5,0.00389552516588683,0.00211749612523401,0.93181618631161,0.0406162114183992,0.00510600009978706
"82",5.1,0.00375590687006388,0.00209293839745247,0.935572093181674,0.0385790423575573,0.00505275633581054
"83",5.2,0.00363911459351339,0.00207126225325049,0.939211207775187,0.0365572306085251,0.0050013900791569
"84",5.3,0.00354239141526361,0.00205256231928981,0.942753599190451,0.0345486470397439,0.00495298342048712
"85",5.4,0.00346341907298601,0.00203688277555065,0.946217018263437,0.03255091414674,0.00490819730840254
"86",5.5,0.00340023558020527,0.00202422816591148,0.949617253843642,0.0305615006480718,0.0048673783892829
"87",5.6,0.00335116815076053,0.00201457343256775,0.952968421994403,0.0285777911892402,0.00483063853651076
"88",5.7,0.00331477812910679,0.00200787260562668,0.95628320012351,0.0265971372821376,0.00479791435886751
"89",5.8,0.00328981537099896,0.00200406601507606,0.959573015494509,0.0246168941349267,0.00476901205926135
"90",5.9,0.00327518009144578,0.00200308608329424,0.962848195585954,0.0226344469182317,0.00474364161970427
"91",6,0.00326989063968113,0.00200486181937237,0.966118086225636,0.0206472291861905,0.00472144326693872
"92",6.1,0.0032730560069227,0.00200932213507214,0.969391142232558,0.0186527355615003,0.00470200841875378
"93",6.2,0.0032838521461279,0.00201639807073799,0.972674994378686,0.0166485303529159,0.00468489674750457
"94",6.3,0.00330150140187392,0.00202602397712857,0.97597649578056,0.0146322534637356,0.00466965056972333
"95",6.4,0.00332525452633235,0.00203813765722185,0.979301750306892,0.0126016247408779,0.00465580743931936
"96",6.5,0.00335437490403867,0.0020526794379473,0.982656125210931,0.0105544477822317,0.00464291155808137
"97",6.6,0.00338812473106062,0.00206959012099708,0.986044249941992,0.00848861414485916,0.00463052440051703
"98",6.7,0.00342575299843958,0.00208880775885715,0.989470002940431,0.00640210886036641,0.00461823476613249
"99",6.8,0.00346648521893273,0.00211026322059981,0.992936488159364,0.00429301814941127,0.00460566831149928
"100",6.9,0.00350951491226983,0.00213387455416467,0.996446003071634,0.0021595402182694,0.00459249647118877
"101",7,0.00355399692836614,0.00215954021826941,1,NA,0.00457844454845319
